University of Mirpurkhas,ump.edu.pk,Pakistan
University of Shaheed Benazirabad,usba.edu.pk,Pakistan
University of Sukkur,sukkuriba.edu.pk,Pakistan
University of Khairpur,shahabdullatifuniversity.edu.pk,Pakistan
University of Nawabshah,un.edu.pk,Pakistan
University of Thatta,ut.edu.pk,Pakistan
University of Badin,ubadin.edu.pk,Pakistan
University of Thar,uth.edu.pk,Pakistan
University of Punjab,pu.edu.pk,Pakistan
Government College University Lahore,gcu.edu.pk,Pakistan
Government College University Faisalabad,gcuf.edu.pk,Pakistan
Government College Women University Faisalabad,gcwuf.edu.pk,Pakistan
Government College Women University Sialkot,gcwus.edu.pk,Pakistan
Government College Women University Multan,gcwum.edu.pk,Pakistan
Lahore College for Women University,lcwu.edu.pk,Pakistan
University of Education,ue.edu.pk,Pakistan
Information Technology University,itu.edu.pk,Pakistan
University of Home Economics,uhe.edu.pk,Pakistan
Kinnaird College for Women,kc.edu.pk,Pakistan
Forman Christian College,fccollege.edu.pk,Pakistan
Beaconhouse National University,bnu.edu.pk,Pakistan
University of Central Punjab,ucp.edu.pk,Pakistan
Superior University,superior.edu.pk,Pakistan
University of South Asia,usa.edu.pk,Pakistan
Hajvery University,hu.edu.pk,Pakistan
Riphah International University,riphah.edu.pk,Pakistan
Foundation University,fu.edu.pk,Pakistan
Iqra University,iqra.edu.pk,Pakistan
SZABIST,szabist.edu.pk,Pakistan
Institute of Business Administration,iba.edu.pk,Pakistan
Institute of Business Management,iobm.edu.pk,Pakistan
Habib University,habib.edu.pk,Pakistan
Indus University,indus.edu.pk,Pakistan
Greenwich University,greenwich.edu.pk,Pakistan
Hamdard University,hamdard.edu.pk,Pakistan
Ziauddin University,zu.edu.pk,Pakistan
Dow University of Health Sciences,duhs.edu.pk,Pakistan
Jinnah Sindh Medical University,jsmu.edu.pk,Pakistan
Liaquat University of Medical & Health Sciences,lumhs.edu.pk,Pakistan
Peoples University of Medical & Health Sciences,pumhs.edu.pk,Pakistan
Gomal University,gu.edu.pk,Pakistan
Abdul Wali Khan University,awkum.edu.pk,Pakistan
Bacha Khan University,bkuc.edu.pk,Pakistan
Hazara University,hu.edu.pk,Pakistan
Khyber Medical University,kmu.edu.pk,Pakistan
Islamia College University,icu.edu.pk,Pakistan
University of Peshawar,uop.edu.pk,Pakistan
Shaheed Benazir Bhutto Women University,sbbwu.edu.pk,Pakistan
University of Science & Technology Bannu,ustb.edu.pk,Pakistan
Sarhad University,suit.edu.pk,Pakistan
City University of Science & IT,cusit.edu.pk,Pakistan
FAST NUCES,nu.edu.pk,Pakistan
COMSATS University Islamabad,comsats.edu.pk,Pakistan
Air University,au.edu.pk,Pakistan
Bahria University,bahria.edu.pk,Pakistan
National University of Modern Languages,numl.edu.pk,Pakistan
Pakistan Institute of Engineering & Applied Sciences,pieas.edu.pk,Pakistan
Capital University of Science & Technology,cust.edu.pk,Pakistan
International Islamic University Islamabad,iiu.edu.pk,Pakistan
Quaid-e-Azam University,qau.edu.pk,Pakistan
National Defence University,ndu.edu.pk,Pakistan
Federal Urdu University,fuuast.edu.pk,Pakistan
Allama Iqbal Open University,aiou.edu.pk,Pakistan
Virtual University,vu.edu.pk,Pakistan
University of Oxford,ox.ac.uk,UK
University of Cambridge,cam.ac.uk,UK
Imperial College London,imperial.ac.uk,UK
University College London,ucl.ac.uk,UK
University of Edinburgh,ed.ac.uk,UK
University of Manchester,manchester.ac.uk,UK
King's College London,kcl.ac.uk,UK
University of Bristol,bristol.ac.uk,UK
University of Glasgow,glasgow.ac.uk,UK
University of Birmingham,birmingham.ac.uk,UK
University of Leeds,leeds.ac.uk,UK
University of Sheffield,sheffield.ac.uk,UK
University of Nottingham,nottingham.ac.uk,UK
University of Warwick,warwick.ac.uk,UK
University of Southampton,southampton.ac.uk,UK
University of York,york.ac.uk,UK
Durham University,durham.ac.uk,UK
University of Exeter,exeter.ac.uk,UK
Lancaster University,lancaster.ac.uk,UK
University of Bath,bath.ac.uk,UK
